市场|代码|名称|进入日期|进入时间|进入价
0|000962|东方钽业|20260827|09:55|54.54
0|000070|特发信息|20260827|09:55|16.44
0|300243|瑞丰高材|20260827|09:57|17.13
0|002947|恒铭达|20260827|09:57|65.99
0|002824|和胜股份|20260827|09:57|25.51
0|001232|嘉立创|20260827|09:57|158.40
0|300842|帝科股份|20260827|10:05|66.40
0|000962|东方钽业|20260827|09:57|54.82
0|301373|凌玮科技|20260827|10:00|102.51
0|300302|同有科技|20260827|10:05|30.71
0|000070|特发信息|20260827|09:57|16.44
0|003018|金富科技|20260827|10:07|45.92
0|002947|恒铭达|20260827|10:07|66.09
0|002824|和胜股份|20260827|10:07|25.59
0|301312|智立方|20260827|09:58|78.48
0|001232|嘉立创|20260827|10:00|157.64
0|000962|东方钽业|20260827|10:00|54.52
0|300145|南方泵业|20260827|10:05|4.63
0|000931|中 关 村|20260827|10:00|5.68
0|003018|金富科技|20260827|10:04|45.92
0|000070|特发信息|20260827|10:00|16.37
0|002824|和胜股份|20260827|10:05|25.55
0|300319|麦捷科技|20260827|09:58|18.85
0|000962|东方钽业|20260827|10:02|55.35
0|000070|特发信息|20260827|10:02|16.46
1|603696|安记食品|20260827|11:14|14.02
0|002947|恒铭达|20260827|10:04|65.82
0|002824|和胜股份|20260827|10:04|25.53
0|001232|嘉立创|20260827|10:04|158.35
1|603093|南华期货|20260827|13:21|13.51
0|000962|东方钽业|20260827|10:04|55.20
0|001268|联合精密|20260827|10:08|25.97
0|000070|特发信息|20260827|10:08|16.69
1|601519|大智慧|20260827|10:30|8.70
1|688209|英集芯|20260827|10:22|24.16
0|002041|登海种业|20260827|10:07|11.31
0|000962|东方钽业|20260827|10:07|55.00
1|600785|新华百货|20260827|10:22|11.81
0|301373|凌玮科技|20260827|10:25|107.04
0|000070|特发信息|20260827|10:07|16.48
0|001232|嘉立创|20260827|10:05|158.00
1|600345|长江通信|20260827|10:11|50.25
1|603137|恒尚节能|20260827|10:09|23.97
0|300302|同有科技|20260827|10:09|30.77
0|002824|和胜股份|20260827|10:09|25.67
0|001268|联合精密|20260827|10:09|25.80
0|300842|帝科股份|20260827|10:25|66.47
0|000070|特发信息|20260827|10:09|16.71
0|000070|特发信息|20260827|10:11|16.63
0|000025|特 力Ａ|20260827|10:11|17.02
